date,state,positive,negative,death,dataQualityGrade,totalTestResults,new_negatives,new_positives,new_tests,ratio_new_positives
20200526,DC,8334,33721,440,A+,42055,1143,109,1252,0.087060703
20200526,DE,9066,45848,335,B,54914,917,101,1018,0.099214145
20200526,FL,52255,870969,2338,A,923224,14480,509,14989,0.033958236
20200526,GA,43730,471215,1871,A,514945,1014,386,1400,0.275714286
20200526,GU,169,5515,5,C,5684,112,3,115,0.026086957
20200526,HI,643,49728,17,C,50371,0,0,0,0
20200526,IA,17703,117301,478,A+,135004,2163,126,2289,0.055045872
20200526,ID,2626,38780,79,A,41406,0,0,0,0
20200526,IL,113195,673599,4923,A,786794,16052,1178,17230,0.068369124
20200526,IN,32078,198671,2004,A+,230749,4135,363,4498,0.080702534
20200526,KS,9218,72181,188,A+,81399,0,0,0,0
20200526,KY,8571,161285,391,A,169856,0,0,0,0
20200526,LA,38054,302972,2701,B,341026,9883,245,10128,0.024190363
20200526,MA,93693,451788,6473,A,545481,4498,422,4920,0.085772358
20200526,MD,47687,206800,2333,B,254487,4375,535,4910,0.108961303
20200526,ME,2109,35450,79,B,37559,0,35,35,1
20200526,MI,55104,429175,5266,A+,484279,11196,223,11419,0.019528855
20200526,MN,21960,187938,908,A,209898,5194,645,5839,0.110464121
20200526,MO,12291,148007,686,B,160298,2789,124,2913,0.0425678
20200526,MP,22,4918,2,D,4940,183,0,183,0
20200526,MS,13731,134088,652,A,147819,3629,273,3902,0.069964121
20200526,MT,479,33355,17,C,33834,152,0,152,0
20200526,NC,24140,328191,766,A,352331,7465,176,7641,0.023033634
20200526,ND,2422,64432,54,C,66854,539,-35,504,-0.069444444
20200526,NE,12355,75687,150,D,88042,2089,221,2310,0.095670996
20200526,NH,4197,58842,210,B,63039,1605,48,1653,0.029038113
20200526,NJ,155764,480128,11191,A+,635892,11423,672,12095,0.055560149
20200526,NM,7026,170335,320,C,177361,3797,83,3880,0.021391753
20200526,NV,7997,115370,396,A+,123367,8518,118,8636,0.013663733
20200526,NY,363836,1410292,23564,A,1774128,33607,1072,34679,0.030912079
20200526,OH,33006,306394,2002,B,339400,8537,529,9066,0.058349879
20200526,OK,6137,153804,318,A+,159941,-1139,47,-1092,-0.043040293
20200526,OR,3967,111571,148,A+,115538,1662,18,1680,0.010714286
20200526,PA,68637,339835,5152,A,408472,4907,451,5358,0.084173199
20200526,PR,3324,0,129,B,3324,0,64,64,1
20200526,RI,14210,121153,634,A+,135363,2517,145,2662,0.054470323
20200526,SC,10416,162318,446,A+,172734,6476,238,6714,0.035448317
20200526,SD,4653,32385,50,C,37038,1688,67,1755,0.038176638
20200526,TN,20965,382539,343,B,403504,6927,358,7285,0.049142073
20200526,TX,56560,764673,1536,B,821233,14990,589,15579,0.037807305
20200526,UT,8620,189972,101,B,198592,2025,99,2124,0.046610169
20200526,VA,39342,227839,1236,A+,267181,6816,1615,8431,0.191554976
20200526,VI,69,1425,6,C,1494,82,0,82,0
20200526,VT,967,29456,54,B,30423,749,5,754,0.0066313
